FlightDate,Airline,Origin,Dest,CRSDepTime,CRSArrTime,Distance,DepDelayMinutes,DepDel15,DepartureDelayGroups,TaxiOut,AirTime,ArrDelayMinutes
2022-03-26,"GoJet Airlines, LLC d/b/a United Express",IAD,LGA,808,940,229.0,0.0,0.0,-1.0,15.0,42.0,0.0
2022-05-11,United Air Lines Inc.,ORD,SAN,919,1142,1723.0,0.0,0.0,-1.0,33.0,239.0,6.0
2022-07-08,American Airlines Inc.,ORD,LGA,1830,2140,733.0,0.0,0.0,-1.0,11.0,96.0,0.0
2022-02-08,American Airlines Inc.,DCA,DFW,1044,1320,1192.0,0.0,0.0,-1.0,17.0,174.0,0.0
2022-04-17,Southwest Airlines Co.,MSY,DAL,1845,2015,436.0,9.0,0.0,0.0,10.0,70.0,2.0
2022-03-10,United Air Lines Inc.,BOS,DEN,1515,1800,1754.0,0.0,0.0,-1.0,16.0,259.0,7.0
2022-07-15,Allegiant Air,RNO,LAS,1822,1937,345.0,15.0,1.0,1.0,16.0,82.0,43.0
2022-02-17,United Air Lines Inc.,BOS,LAX,605,942,2611.0,0.0,0.0,0.0,14.0,349.0,0.0
2022-04-10,American Airlines Inc.,CLT,BNA,2159,2218,328.0,0.0,0.0,-1.0,14.0,58.0,6.0
2022-03-04,Delta Air Lines Inc.,BOS,ATL,1710,2019,946.0,0.0,0.0,0.0,18.0,146.0,0.0
2022-04-06,Delta Air Lines Inc.,PHX,SEA,1904,2215,1107.0,0.0,0.0,-1.0,20.0,158.0,0.0
2022-03-30,Delta Air Lines Inc.,CLT,DTW,1310,1458,500.0,0.0,0.0,-1.0,9.0,83.0,0.0
2022-01-08,Southwest Airlines Co.,MDW,TPA,1030,1400,997.0,3|.0,0.0,0.0,8.0,130.0,0.0
2022-04-13,Southwest Airlines Co.,DEN,CLE,1500,1950,1201.0,59.0,1.0,3.0,22.0,146.0,63.0
2022-02-19,Spirit Air Lines,MCO,IND,950,1222,829.0,0.0,0.0,0.0,12.0,123.0,0.0
2022-07-20,Endeavor Air Inc.,LGA,RIC,1010,1149,292||.0,0.0,0.0,-1.0,19.0,59.0,0.0
2022-02-01,Delta Air Lines Inc.,ATL,DFW,1619,1745,731.0,0.0,0.0,-1.0,10.0,117.0,0.0
2022-07-08,Delta Air Lines Inc.,BNA,ATL,1451,1702,214.0,1.0,0.0,0.0,14.0,50.0,0.0
2022-05-16,United Air Lines Inc.,EWR,SJU,1000,1359,"1608.#,0",0.0,0.0,0.0,26.0,200.0,0.0
2022-01-01,Hawaiian Airlines Inc.,LGB,HNL,845,1250,2569.0,7.0,0.0,0.0,11.0,338.0,11.0
2022-03-24,Delta Air Lines Inc.,LAS,SEA,1540,1824,867.0,"21.,0",1.0,1.0,"17,.0",129.0,12.0
2022-05-18,Mesa Airlines Inc.,DFW,MAF,1640,1758,309.0,0.0,0.0,-1.0,12.0,48.0,0.0
2022-05-28,JetBlue Airways,RSW,JFK,1010,1257,1074.0,6.||0,0.0,0.0,12.0,180.0,38.0
2022-05-19,United Air Lines Inc.,DEN,IND,1003,1432,977.0,0.0,0.0,-1.0,29.0,120.0,1.0
2022-04-25,Delta Air Lines Inc.,ATL,ORD,2050,2145,606.0,25.0,1.0,1.0,14.0,86.0,24.0
2022-03-22,United Air Lines Inc.,MCO,EWR,855,1135,937.0,0.0,0.0,-1.0,25.0,122.0,0.0
2022-03-23,Envoy Air,LIT,ORD,1235,1431,552.0,0.0,0.0,-1.0,"1|,4.0",86.0,0.0
2022-07-02,United Air Lines Inc.,IAD,EWR,735,852,"212,.0",0.0,0.0,-1.0,13.0,44.0,0.0
2022-01-29,Southwest Airlines Co.,LAS,SNA,650,755,226.0,0.0,0.0,-1.0,10.0,38.0,0.0
2022-06-04,Frontier Airlines Inc.,PHX,DEN,545,834,602.0,12.0,0.0,0.0,11.0,87.0,15.0
2022-05-31,Comair Inc.,CSG,CLT,1453,1620,295.0,19.0,1.0,1.0,40.0,50.0,44.0
2022-03-04,United Air Lines Inc.,SEA,DEN,1240,1625,1024.0,18.0,1.0,1.0,13.0,135.0,21.0
2022-07-19,SkyWest Airlines Inc.,MTJ,DEN,1325,1442,196.0,0.0,0.0,-1.0,21.0,38.0,0.0
2022-07-19,Alaska Airlines Inc.,KTN,SEA,1520,1819,680.0,0.0,0.0,-1.0,15.0,91.0,0.0
2022-07-22,United Air Lines Inc.,IAH,EWR,1620,2107,14#00.0,21.0,1.0,1.0,24.0,181.0,51.0
2022-05-13,American Airlines Inc.,BWI,CLT,1227,1355,361.0,0.0,0.0,0.0,20.0,64.0,2.0
2022-02-07,Frontier Airlines Inc.,DEN,MCO,59,633,1546.0,0.0,0.0,-1.0,9.0,180.0,0.0
2022-01-05,Alaska Airlines Inc.,SEA,SJC,630,844,696.0,0.0,0.0,-1.0,19.0,95.0,0.0
2022-07-28,Southwest Airlines Co.,ORD,AUS,1930,2205,977.0,0.0,0.0,-1.0,13.0,129.0,0.0
2022-04-11,American Airlines Inc.,TPA,PHL,1503,1735,920.0,0.0,0.0,0.0,12.0,129.0,0.0
2022-03-16,JetBlue Airways,RSW,DCA,1736,2000,892.0,0.0,0.0,-1.0,24.0,117.0,0.0
2022-06-06,Delta Air Lines Inc.,IND,ATL,948,1114,432.0,0.0,0.0,-1.0,13.0,64.0,0.0
2022-02-11,Southwest Airlines Co.,SAN,LAS,1355,1510,258.0,0.0,0.0,-1.0,10.0,48.0,0.0
2022-05-12,American Airlines Inc.,BOS,LAX,1940,2256,2611.0,45.0,1.0,3.0,19.0,345.0,38.0
2022-04-24,United Air Lines Inc.,DFW,ORD,1405,1635,801.0,10.0,0.0,0.0,16.0,109.0,0.0
2022-03-24,Southwest Airlines Co.,MDW,DEN,2205,2340,895.0,118.0,1.0,7.0,7.0,121.0,99.0
2022-01-03,American Airlines Inc.,HDN,ORD,1233,1620,1009.0,20.0,1.0,1.0,13.0,123.0,12.0
2022-06-08,SkyWest Airlines Inc.,PHX,FAT,950,1134,493.0,0.0,0.0,0.0,16.0,75.0,0.0
2022-01-19,American Airlines Inc.,PHX,CVG,955,1528,1569.0,0.0,0.0,-1.0,19.0,179.0,0.0
2022-01-25,Endeavor Air Inc.,BGR,BOS,500,630,201.0,0.0,0.0,-1.0,51.0,43.0,6.0
2022-03-06,Endeavor Air Inc.,GTR,ATL,1215,1420,241.0,"0,.0",0.0,-1.0,13.0,42.0,0.0
2022-06-26,United Air Lines Inc.,IAH,AUS,2201,2258,140.0,27.0,1.0,1.0,18.0,29.0,23.0
2022-05-12,Southwest Airlines Co.,DEN,PHX,2210,2305,602.0,2.0,0.0,0.0,9.0,90.0,0.0
2022-04-14,Southwest Airlines Co.,SNA,LAS,1430,1540,226.0,10.0,0.0,0.0,8.0,43.0,0.0
2022-01-25,Endeavor Air Inc.,PWM,LGA,1102,1228,269.0,23##.0,1.0,1.0,12.0,58.0,18.0
2022-04-19,SkyWest Airlines Inc.,ORD,FWA,1400,1606,157.0,0.0,0.0,-1.0,18.0,30.0,0.0
2022-04-21,Endeavor Air Inc.,LGA,CHO,2159,2339,305.0,0.0,0.0,-1.0,14.0,54.0,0.0
2022-03-03,Delta Air Lines Inc.,LAX,MSP,1305,1835,1535.0,1.0,0.0,0.0,12.0,172.0,0.0
2022-06-19,American Airlines Inc.,ELP,DFW,1634,1923,551.0,13.0,0.0,0.0,15.0,80.0,12.0
2022-06-08,United Air Lines Inc.,IAD,ORD,2222,2325,588.0,13.0,0.0,0.0,22.0,87.0,6.0
2022-04-14,Southwest Airlines Co.,STL,DTW,835,1105,440.0,10.0,0.0,0.0,10.0,58.0,0.0
2022-02-05,American Airlines Inc.,MIA,DCA,1720,1949,919.0,0.0,0.0,-1.0,12.0,118.0,0.0
2022-04-11,SkyWest Airlines Inc.,IAH,LBB,935,1119,458.0,0.0,0.0,-1.0,14.0,77.0,0.0
2022-01-06,American Airlines Inc.,MIA,BDL,2100,5,1194.0,0.0,0.0,-1.0,15.0,141.0,0.0
2022-05-11,Southwest Airlines Co.,MDW,BNA,750,915,395.0,0.0,0.0,-1.0,10.0,56.0,0.0
